tree policy, expansion, simulation, worker, nps
uct, basic, random, 1, 272
uct, basic, random, 2, 447
uct, basic, random, 4, 710
uct, basic, random, 8, 900


{5, 81600k, 0.25}-> {3, 35938k, -0.25}-> {5, 35681k, 0.31}-> {3, 34241k, -0.31}-> {3, 34032k, 0.30}-> {5, 16055k, -0.30}-> {5, 15794k, 0.29}-> {0, 7780k, -0.29}-> {3, 5210k, 0.28}-> {6, 4766k, -0.30}-> {2, 10210k, 0.29}-> {3, 4979k, -0.28}-> {2, 3196k, 0.29}-> {6, 3134k, -0.32}-> {8, 3114k, 0.32}-> {5, 4454k, -0.31}-> {0, 4407k, 0.31}-> {8, 3253k, -0.31}-> {8, 3121k, 0.32}-> {0, 2920k, -0.31}-> {1, 2315k, 0.32}-> {0, 453k, -0.32}-> {4, 391k, 0.46}-> {0, 285k, -0.45}-> {0, 283k, 0.49}-> {3, 47k, -0.46}-> {8, 23k, 0.64}-> {8, 6k, -0.50}-> {7, 0k, 0.55}-> {?}-> {?}-> {?}-> {?}-> {?}-> {?}-> {?}->
94674kN in 189053ms @500kNps  depth 29/36
